"Athletics Indicator","Major","Term","Distinct Students","Distinct Students.FORMATTED_VALUE"
"Never an Athlete","Trombone (TRBN)","2023-24","3.0","3"
"Never an Athlete","Trumpet (TRPT)","2021-22","2.0","2"
"Never an Athlete","Trumpet (TRPT)","2023-24","1.0","1"
"Never an Athlete","Viola (VLA)","2021-22","4.0","4"
"Never an Athlete","Viola (VLA)","2022-23","4.0","4"
"Never an Athlete","Viola (VLA)","2023-24","2.0","2"
"Never an Athlete","Viola (VLA)","2024-25","1.0","1"
"Never an Athlete","Violin (VLN)","2021-22","15.0","15"
"Never an Athlete","Violin (VLN)","2022-23","16.0","16"
"Never an Athlete","Violin (VLN)","2023-24","4.0","4"
"Never an Athlete","Violin (VLN)","2024-25","3.0","3"
"Never an Athlete","Violoncello (VCEL)","2021-22","6.0","6"
"Never an Athlete","Violoncello (VCEL)","2022-23","3.0","3"
"Never an Athlete","Violoncello (VCEL)","2023-24","5.0","5"
"Never an Athlete","Violoncello (VCEL)","2024-25","5.0","5"
"Never an Athlete","Voice (VOI)","2021-22","28.0","28"
"Never an Athlete","Voice (VOI)","2022-23","32.0","32"
"Never an Athlete","Voice (VOI)","2023-24","18.0","18"
"Never an Athlete","Voice (VOI)","2024-25","17.0","17"
"Total","Total","2021-22","941.0","941"
"Total","Total","2022-23","847.0","847"
"Total","Total","2023-24","975.0","975"
"Total","Total","2024-25","1019.0","1,019"
